"","pid3","authoritarianism","violent","burn","court","recount","criticize","VIOLENT","SM"
"136","Republican",0,2,1,3,5,3,1,1
"137","Democrat",0.25,1,1,5,5,1,1,1
"138","Republican",0.25,2,1,4,5,1,0,0
"139","Republican",0.5,4,2,4,4,4,1,1
"140","Republican",0,3,1,1,5,5,1,1
"141","Independent",0.5,4,2,2,3,2,0,0
"142",NA,0,4,3,4,4,3,0,1
"143","Republican",0,3,1,1,5,3,0,0
"144","Republican",0.75,1,1,3,4,3,1,1
"145","Republican",0.5,4,1,4,4,4,1,0
"146",NA,0.25,5,5,3,3,1,0,0
"147",NA,0.5,3,2,2,3,1,1,1
"148","Democrat",0,5,4,3,4,2,1,1
"149","Democrat",0.5,5,3,5,4,4,0,0
"150","Independent",0.25,4,3,3,4,2,0,1
"151","Democrat",0,4,4,2,4,2,1,0
"152","Republican",0,2,2,2,4,2,0,0
"153","Independent",0.5,1,1,2,5,3,1,0
"154","Republican",0,1,1,4,4,1,1,1
"155","Republican",1,3,1,2,3,3,0,1
"156","Independent",1,2,1,3,4,3,1,1
"157","Republican",0.25,1,1,3,3,3,1,0
"158","Republican",0.5,2,1,3,3,3,1,1
"159","Independent",0.5,1,1,1,3,3,1,0
"160",NA,0.25,4,2,3,3,2,1,0
"161","Republican",0.25,1,1,2,4,3,1,0
"162","Independent",0.25,3,1,4,4,4,0,0
"163","Independent",0.25,1,1,1,4,4,0,0
"164","Democrat",0,4,2,4,5,2,0,0
"165","Independent",0.5,1,1,3,4,4,1,1
"166","Independent",1,2,1,1,3,1,0,1
"167","Republican",0.25,4,1,2,2,2,0,0
"168","Republican",1,4,1,3,4,4,0,1
"169","Democrat",0.25,1,1,2,4,2,1,0
"170","Republican",0,4,4,2,4,1,0,1
"171","Democrat",0.5,2,2,4,3,1,1,1
"172","Republican",0.5,2,1,2,4,3,0,0
"173","Democrat",0.75,1,1,3,4,2,1,1
"174","Republican",0.75,2,1,4,4,3,1,1
"175","Democrat",0.25,4,3,3,4,4,0,0
"176","Republican",0.5,4,2,2,4,2,0,0
"177",NA,1,2,3,2,5,1,1,0
"178","Republican",0.5,1,1,3,4,4,0,0
"179","Democrat",0.5,1,1,1,1,1,0,0
"180","Republican",0.25,2,1,3,4,1,0,1
"181","Independent",0.25,1,1,2,4,2,1,1
"182","Independent",0.5,3,1,2,3,4,0,1
"183","Republican",0.5,4,1,4,4,1,1,1
"184","Independent",0.75,2,1,3,3,4,1,0
"185","Independent",0.75,1,1,2,3,2,0,0
"186",NA,0,4,1,5,5,1,1,1
"187","Republican",0,4,3,2,4,1,1,1
"188","Independent",0,3,1,1,4,4,0,1
"189","Democrat",0.5,4,1,4,5,1,0,0
"190","Independent",0,1,1,1,4,2,1,0
"191",NA,0.25,3,2,3,4,4,1,0
"192","Independent",0.5,2,1,2,3,2,0,1
"193",NA,0.75,5,5,3,5,1,0,0
"194","Democrat",0.25,3,2,1,3,3,0,0
"195","Democrat",0,4,3,4,4,4,1,0
"196","Republican",0,2,1,3,4,3,1,0
"197","Independent",0.75,1,1,1,4,3,0,0
"198","Independent",0.25,2,1,3,4,2,0,0
"199","Independent",1,1,1,3,3,4,1,0
"200","Independent",0.25,1,1,2,4,2,0,1
"201","Democrat",0.25,3,2,2,2,2,1,0
"202","Republican",0,3,1,1,5,3,0,0
"203","Democrat",0,4,4,3,4,3,0,1
"204","Independent",0.75,1,1,1,1,3,0,1
"205","Independent",0.25,4,1,2,4,1,0,0
"206","Independent",0.5,1,1,1,3,3,1,1
"207","Republican",0.5,1,1,1,1,1,1,0
"208","Republican",0.75,1,1,3,3,2,1,1
"209","Democrat",0.75,3,1,1,3,1,0,0
"210","Republican",0.25,3,1,1,3,3,1,1
"211","Republican",0.5,1,2,3,3,3,1,0
"212","Republican",0.25,3,3,3,3,3,0,0
"213",NA,0,4,4,3,4,5,0,0
"214","Democrat",0,4,4,4,4,4,0,0
"215","Republican",0.5,3,2,2,3,2,0,1
"216","Independent",0.75,3,1,1,5,1,1,1
"217","Democrat",0.5,2,1,3,4,1,1,1
"218","Independent",0.5,1,1,4,4,4,1,0
"219","Democrat",0,5,1,5,5,5,1,1
"220","Republican",0.5,2,2,4,4,3,1,1
"221","Republican",0,5,5,1,4,1,1,1
"222","Republican",0,1,2,1,4,1,1,1
"223",NA,0.5,3,1,3,3,4,0,0
"224","Democrat",0.75,2,2,3,3,3,0,1
"225","Republican",0.75,1,1,1,4,3,1,1
"226","Republican",0,5,3,4,5,4,0,0
"227","Democrat",0,3,5,3,5,3,1,1
"228","Republican",0,5,3,4,5,3,0,0
"229","Republican",0,3,1,2,3,3,0,1
"230","Democrat",0,5,3,2,4,2,0,0
"231","Republican",0,2,2,4,4,5,1,1
"232","Republican",1,3,1,2,3,3,1,1
"233","Democrat",0.5,1,1,1,1,5,1,1
"234","Independent",0.5,3,1,3,3,3,1,0
"235","Republican",1,4,1,3,3,2,0,1
"236","Independent",0,1,1,1,5,1,0,1
"237","Independent",0.25,2,1,1,3,3,1,0
"238","Republican",0.75,2,1,2,5,5,0,0
"239","Democrat",0.25,5,3,4,4,3,0,0
"240","Republican",0.5,3,3,3,4,3,1,0
"241","Independent",0.5,1,1,5,3,5,1,1
"242","Independent",1,3,2,4,4,3,0,0
"243",NA,0.75,3,3,3,3,3,1,0
"244","Republican",0.25,3,2,3,4,2,0,1
"245","Republican",0.5,2,1,4,5,4,1,0
"246","Democrat",0,5,3,4,4,5,1,0
"247","Independent",0.25,4,1,2,4,2,0,1
"248","Republican",1,4,1,3,4,1,0,1
"249","Democrat",0,3,1,1,3,1,1,1
"250",NA,0,4,3,3,4,2,1,0
"251","Democrat",0.5,4,3,5,4,4,0,1
"252","Republican",0,3,3,1,2,1,1,0
"253","Democrat",0.5,4,2,3,4,2,1,1
"254","Independent",0.5,1,1,1,5,1,0,1
"255","Republican",0.25,4,3,1,3,1,0,1
"256","Democrat",0.5,3,2,2,3,2,1,0
"257","Independent",0.75,3,1,2,3,3,0,0
"258","Republican",0,3,2,4,4,2,1,0
"259","Republican",0.5,3,1,1,2,1,1,0
"260","Democrat",0.75,4,4,3,5,5,1,0
"261",NA,1,3,1,3,3,5,1,1
"262","Democrat",0.75,4,3,4,4,2,0,1
"263","Independent",0.75,1,1,1,3,1,0,1
"264","Democrat",0.25,5,3,4,5,1,0,1
"265","Democrat",0,4,1,4,4,3,0,0
"266","Republican",0.75,2,1,2,3,2,0,0
"267","Democrat",1,1,1,3,4,2,0,1
"268","Republican",0,4,4,4,4,4,0,0
"269","Independent",0.75,1,1,1,3,1,1,1
"270","Republican",0,2,1,5,5,1,1,1
"271","Independent",0.5,1,1,1,3,1,0,1
"272","Democrat",0.25,2,1,5,5,4,1,0
"273","Independent",0,2,1,3,3,3,1,1
"274","Independent",0.75,5,1,5,5,3,0,0
"275","Independent",0.5,1,1,3,4,3,1,1
"276","Independent",0.25,2,1,1,2,1,0,1
"277","Independent",0.5,1,1,3,5,3,1,1
"278","Republican",1,5,1,3,4,3,0,0
"279","Democrat",0,4,3,2,4,5,1,0
"280","Republican",0,3,3,4,4,3,0,0
"281","Independent",0,3,1,4,3,3,0,0
"282","Republican",0.25,3,1,1,5,3,0,1
"283","Republican",0.25,3,2,4,5,2,0,0
"284","Republican",1,1,1,2,3,4,1,0
"285",NA,0,3,3,3,3,3,0,1
"286","Independent",0.75,3,2,2,4,2,0,0
"287","Independent",0.5,1,1,1,1,1,1,0
"288","Independent",0,1,1,3,5,5,1,0
"289","Independent",0.75,4,1,4,4,4,1,1
"290","Democrat",0.75,2,1,4,4,4,0,0
"291","Republican",0,4,4,4,4,4,1,0
"292","Republican",0.5,4,2,4,4,2,0,0
"293","Democrat",0.25,4,1,4,4,1,1,1
"294","Democrat",0,2,2,3,3,2,1,0
"295","Independent",0.25,1,1,1,4,1,0,0
"296","Republican",0.5,4,2,4,4,3,0,1
"297","Republican",0.75,2,1,4,4,2,1,1
"298","Democrat",1,1,1,1,4,2,1,0
"299","Independent",0.75,3,2,2,3,3,1,1
"300","Democrat",0.25,5,2,5,5,3,0,0
"301","Republican",0.25,2,1,4,4,3,1,1
"302","Independent",1,1,1,1,5,1,1,0
"303","Democrat",0.5,4,2,2,4,2,1,1
"304","Independent",0.25,2,1,3,3,3,0,0
"305","Independent",0.25,3,1,2,5,4,0,0
"306","Democrat",0.5,4,1,2,3,2,0,0
"307","Republican",0,5,4,3,4,4,0,1
"308","Independent",0.75,1,1,1,1,1,1,1
"309","Democrat",0.75,2,1,2,3,1,0,0
"310","Republican",0,3,3,2,4,1,1,1
"311","Democrat",0,4,2,1,5,2,0,0
"312","Democrat",0.75,2,1,3,4,3,1,1
"313","Independent",0.75,2,1,2,4,3,0,1
"314","Republican",0,4,3,3,4,2,0,0
"315","Independent",0.5,3,1,1,4,5,1,1
"316","Republican",0.75,4,2,1,3,1,0,1
"317","Democrat",0.25,3,2,4,4,4,0,0
"318","Republican",0.25,1,1,1,1,1,1,0
"319","Republican",0,2,1,2,4,2,0,1
"320","Republican",0.75,5,2,3,4,1,0,1
"321","Republican",0.75,3,2,4,4,3,1,0
"322","Democrat",0,3,1,2,4,1,0,1
"323","Independent",1,4,1,1,3,3,0,0
"324","Democrat",0.25,3,1,4,5,3,1,1
"325","Independent",0,3,3,3,3,3,1,0
"326","Democrat",0,4,2,3,5,2,0,1
"327","Independent",0.75,3,1,2,3,1,0,1
"328","Republican",0,3,1,2,3,2,0,0
"329","Independent",0.5,3,1,4,4,5,1,0
"330","Democrat",0,4,4,4,3,3,1,1
"331","Republican",0.25,1,1,3,4,3,1,0
"332","Democrat",0,4,2,3,4,2,0,1
"333","Independent",1,3,1,3,3,4,0,0
"334","Independent",0.25,1,1,3,4,1,1,0
"335","Republican",1,4,3,1,4,1,0,0
"336","Republican",0.25,3,1,5,5,3,0,1
"337","Independent",0.5,1,1,1,1,2,1,1
"338","Democrat",0,5,2,4,5,3,0,0
"339","Independent",0.5,3,1,3,2,3,1,1
"340","Democrat",0.25,2,2,4,4,4,1,1
"341",NA,0,5,3,5,4,4,1,1
"342","Democrat",0,5,4,3,4,1,0,1
"343","Independent",0.75,1,1,2,3,2,1,0
"344","Democrat",0.5,2,1,3,3,1,1,1
"345",NA,0.75,3,2,3,4,3,1,1
"346","Democrat",0,5,1,3,4,1,0,0
"347","Independent",0.5,1,1,1,4,1,0,0
"348","Democrat",0,3,2,3,3,3,1,0
"349","Democrat",0,5,2,5,5,3,0,1
"350","Democrat",1,1,1,3,5,3,1,0
"351","Democrat",0.25,5,2,1,3,1,0,1
"352","Independent",0,3,1,1,1,1,1,1
"353","Democrat",0,5,4,4,4,5,0,0
"354","Democrat",0,5,2,5,5,5,0,1
"355","Republican",1,5,1,2,4,2,0,1
"356","Independent",0.5,2,1,2,3,2,0,0
"357","Independent",0.5,1,1,1,1,4,1,0
"358","Republican",0,5,4,5,3,3,1,0
"359","Independent",0.75,1,1,2,4,4,1,1
"360","Independent",0.75,1,1,4,5,3,0,0
"361","Republican",0,5,1,1,3,1,0,0
"362","Independent",0.25,2,1,3,4,3,0,0
"363","Democrat",0,4,3,3,3,2,1,0
"364",NA,0.25,3,3,3,3,3,1,1
"365","Republican",0,4,2,3,4,1,1,1
"366","Independent",0.5,4,4,3,4,4,1,0
"367","Democrat",0,5,5,5,5,5,0,0
"368","Republican",0,5,5,1,5,4,0,1
"369","Independent",0.75,1,1,1,4,4,1,1
"370","Republican",0,3,3,3,4,3,0,0
"371","Republican",0.5,2,1,3,3,1,1,1
"372","Democrat",0.25,4,1,5,5,NA,1,0
"373","Democrat",0,3,1,1,4,1,0,1
"374",NA,1,1,1,4,3,3,1,1
"375",NA,0.5,1,1,1,1,5,1,0
"376","Independent",0.75,3,1,3,3,3,0,0
"377","Republican",0.5,5,1,3,3,1,0,1
"378","Independent",0,1,1,3,5,4,1,1
"379","Democrat",0.25,5,5,4,4,3,0,1
"380","Independent",0.5,2,1,2,2,4,1,1
"381","Democrat",0.25,4,3,5,4,3,0,0
"382","Independent",1,2,1,3,4,2,0,0
"383","Republican",0.5,4,2,2,2,1,0,0
"384","Independent",1,1,1,3,4,2,1,0
"385","Republican",0.5,2,1,2,4,2,0,1
"386","Republican",0.75,4,1,3,3,4,1,0
"387","Independent",0.5,2,1,3,4,4,1,1
"388",NA,0.25,3,1,4,4,2,1,0
"389","Independent",1,2,1,1,3,1,1,1
"390",NA,0.5,1,2,2,2,5,0,0
"391","Democrat",0.25,2,2,4,5,1,1,1
"392","Democrat",0.25,3,1,3,3,2,0,1
"393","Independent",0.75,1,1,3,5,5,0,1
"394","Independent",0.25,1,1,4,5,3,0,1
"395","Democrat",0.5,3,2,4,4,4,0,0
"396","Independent",1,3,1,1,4,3,0,1
"397","Independent",0.5,1,1,1,2,1,1,0
"398","Democrat",0,5,4,1,4,1,0,0
"399","Republican",0.25,1,1,1,3,3,1,0
"400","Independent",0.25,1,1,5,5,5,1,0
"401","Democrat",0,4,1,3,4,2,0,1
"402","Democrat",0,4,3,4,4,3,1,0
"403","Republican",0.5,1,1,1,3,3,1,0
"404","Independent",0,5,1,5,5,4,1,0
"405","Independent",1,1,1,1,5,3,1,1
"406","Democrat",0,5,3,4,4,4,1,0
"407","Republican",0,3,1,2,4,3,1,0
"408","Democrat",1,1,1,3,4,1,0,0
"409","Independent",0.25,4,1,2,4,1,1,1
"410","Republican",0.5,1,1,3,4,1,1,1
"411","Democrat",0,4,1,2,4,2,0,0
"412",NA,0,4,4,2,3,3,0,1
"413","Independent",1,1,1,1,1,1,1,1
"414",NA,0.5,2,1,2,3,2,0,0
"415","Independent",0.75,1,1,1,4,1,0,1
"416","Republican",0.25,4,1,5,5,1,1,1
"417","Independent",0.75,1,1,1,3,1,1,1
"418","Democrat",0.5,3,1,1,3,1,0,1
"419","Democrat",0.25,5,1,2,4,1,0,0
"420","Republican",0,3,2,2,3,2,1,0
"421","Democrat",0.25,4,2,4,4,2,1,1
"422","Republican",0,2,1,4,4,2,0,0
"423","Democrat",0,4,3,3,3,2,0,0
"424","Independent",0,2,1,2,4,2,0,1
"425","Republican",0,3,3,2,5,3,0,0
"426","Independent",0.75,5,1,4,5,5,0,0
"427","Independent",1,1,1,1,4,3,0,1
"428","Democrat",0,5,3,5,5,1,0,1
"429","Independent",0,4,1,3,5,4,0,0
"430","Republican",0.25,2,2,2,3,3,1,1
"431","Independent",1,1,1,5,5,1,0,1
"432","Republican",1,3,1,3,3,3,0,1
"433","Independent",0.25,4,4,5,5,5,1,1
"434","Independent",1,2,1,1,4,4,1,0
"435","Democrat",0,4,3,2,5,4,1,1
"436","Democrat",0.5,3,1,4,5,2,1,0
"437","Independent",0.25,1,1,2,5,2,1,1
"438","Independent",0.5,4,1,4,4,5,0,0
"439","Republican",0,3,1,3,3,4,0,0
"440","Democrat",0.5,3,1,3,3,3,0,0
"441","Republican",0.75,1,1,3,3,4,0,1
"442","Republican",0,1,2,1,2,2,1,1
"443","Democrat",0.25,3,1,3,4,2,0,0
"444","Democrat",0.75,5,2,2,4,2,0,1
"445","Republican",0.5,3,2,3,4,1,1,0
"446","Democrat",0,4,3,4,4,4,0,0
"447",NA,0,2,2,4,4,1,1,0
"448","Republican",0.5,1,1,3,3,4,1,1
"449","Democrat",0.25,5,1,5,5,1,0,0
"450","Democrat",1,1,1,3,5,5,1,0
"451","Independent",0.25,1,1,2,2,4,1,1
"452","Democrat",0,2,3,4,4,1,1,1
"453","Independent",1,1,1,4,4,3,0,1
"454","Democrat",0.25,3,1,3,3,2,0,1
"455","Democrat",0,4,2,4,3,4,1,1
"456","Republican",0.25,4,1,5,3,4,1,0
"457",NA,1,3,3,3,3,3,1,1
"458","Republican",0.25,4,3,2,4,3,1,1
"459","Democrat",0,4,2,4,4,4,0,0
"460","Democrat",0,1,1,1,3,1,0,1
"461","Democrat",0,3,2,3,4,4,0,0
"462","Republican",0,5,5,5,4,3,1,0
"463","Republican",0,1,1,3,3,1,0,0
"464","Democrat",0.5,4,3,2,2,1,0,0
"465","Independent",0.5,3,1,5,5,2,1,1
"466","Independent",0.25,1,1,1,2,1,1,1
"467","Republican",0.25,5,3,3,5,5,0,1
"468","Democrat",0.5,2,1,4,4,2,1,0
"469","Democrat",0.75,3,2,4,4,3,1,1
"470","Democrat",0,4,5,4,5,5,1,0
"471","Independent",0.75,1,1,5,5,5,1,0
"472","Republican",0.25,1,1,3,3,4,1,0
"473","Republican",0.75,1,1,4,5,5,1,0
"474","Republican",0.5,3,1,3,3,3,0,0
"475","Republican",0,5,4,2,2,1,0,1
"476","Independent",1,3,1,2,3,3,0,0
"477","Republican",0.5,2,3,4,3,3,1,0
"478","Democrat",0.75,3,1,1,3,1,0,1
"479","Republican",0.25,2,4,2,4,1,1,0
"480","Independent",0.5,1,1,3,5,4,1,0
"481","Independent",0.75,1,1,4,4,2,1,1
"482","Independent",0.5,2,1,2,3,1,1,1
"483","Republican",0,3,3,2,3,2,0,1
"484","Republican",1,2,1,1,5,3,1,0
"485","Independent",0.5,2,1,1,1,3,1,0
"486","Democrat",0.25,5,2,2,5,2,0,1
"487","Republican",0,2,3,4,5,1,0,1
"488","Independent",0.25,2,1,1,3,2,1,0
"489","Republican",0.5,3,1,4,5,2,0,0
"490","Republican",0.75,3,1,2,3,4,1,0
"491","Independent",0.75,2,1,2,2,4,0,1
"492","Democrat",0,4,4,2,4,2,1,0
"493","Republican",0,1,1,3,3,3,1,1
"494","Republican",0,4,2,1,5,1,1,1
"495","Independent",1,2,1,2,5,4,0,0
"496","Democrat",0,2,3,2,4,1,1,1
"497",NA,0,5,3,4,4,4,0,1
"498","Independent",0.75,1,1,1,2,2,0,0
"499","Independent",0.5,1,1,4,4,3,1,1
"500","Independent",0.25,3,1,5,5,5,0,1
"501","Democrat",0,5,5,3,3,1,0,0
"502","Democrat",0,3,2,3,4,4,0,0
"503","Republican",0.75,5,1,4,4,4,0,0
"504","Independent",0.5,1,1,1,4,2,1,1
"505","Republican",0.5,2,1,1,4,2,0,1
"506","Independent",0.75,2,1,3,3,2,0,1
"507","Independent",1,1,1,1,3,1,0,0
"508","Independent",0.75,1,1,1,4,3,1,1
"509","Democrat",0,4,3,4,3,4,0,1
"510","Independent",0.5,1,1,1,4,1,1,1
"511",NA,0.25,2,1,3,3,2,1,0
"512","Independent",0.25,1,1,1,5,1,1,0
"513","Republican",0.5,1,1,1,1,1,0,0
"514","Independent",0,3,1,3,4,3,0,1
"515","Independent",0.25,1,1,1,3,3,0,0
"516","Republican",0.25,3,2,3,3,3,0,1
"517","Independent",0.5,3,1,1,3,3,0,0
"518","Independent",0.75,1,1,4,5,3,1,0
"519","Independent",0.25,3,1,5,5,3,0,1
"520","Independent",0.75,1,1,2,4,3,1,0
"521","Republican",0.25,3,1,3,3,3,1,0
"522","Independent",0.5,2,1,4,3,1,0,0
"523",NA,0,4,1,4,4,4,1,0
"524","Independent",0.75,2,2,2,4,4,0,1
"525","Republican",0,5,2,3,3,3,0,1
"526","Democrat",0.5,5,1,5,5,4,0,1
"527","Republican",0.5,3,1,5,2,5,1,1
"528","Republican",0.25,3,1,3,3,3,0,0
"529","Republican",0.25,1,1,1,1,1,1,0
"530","Independent",1,1,1,3,3,3,1,0
"531","Democrat",0.5,2,1,3,4,4,0,1
"532","Democrat",0,4,4,3,4,3,0,1
"533","Republican",0.75,1,1,1,4,3,0,0
"534","Democrat",0.5,5,3,5,5,5,0,0
"535","Democrat",0,5,3,4,4,5,0,0
"536","Democrat",0,5,5,5,5,2,0,1
"537","Democrat",0.25,4,1,3,4,2,0,1
"538","Republican",0,3,1,3,4,2,1,1
"539","Republican",0,4,4,1,5,1,1,1
"540","Republican",1,3,2,3,4,1,1,0
"541","Republican",0.25,2,1,3,5,3,1,0
"542","Democrat",0,4,1,4,4,1,1,1
"543","Independent",0.75,3,1,1,5,5,0,0
"544","Republican",0.25,3,1,4,5,2,1,1
"545","Independent",1,3,1,2,4,5,0,1
"546","Independent",0,2,1,3,4,3,1,1
"547","Independent",0.5,1,1,1,1,1,1,1
"548","Independent",0.5,1,1,3,4,3,1,1
"549","Republican",1,4,1,3,4,4,0,1
"550","Democrat",0.25,3,3,4,4,2,1,1
"551","Democrat",1,3,3,2,4,2,1,0
"552","Republican",0,3,2,1,3,1,1,0
"553","Democrat",0,4,1,3,4,1,1,1
"554","Republican",1,1,2,1,2,2,0,1
"555","Democrat",0.25,3,3,2,4,3,1,0
"556","Republican",0.5,3,1,4,5,5,1,1
"557","Democrat",0.25,3,2,2,5,2,0,0
"558","Independent",0.25,2,1,1,4,2,0,0
"559","Independent",1,1,1,2,4,3,1,0
"560","Democrat",0,5,2,3,4,2,0,0
"561","Independent",0,5,3,2,4,1,0,1
"562","Democrat",0,5,2,4,5,3,1,1
"563","Independent",0.75,2,1,2,3,1,0,1
"564","Republican",0.5,3,3,1,4,3,1,0
"565","Democrat",0.25,5,2,5,5,2,0,0
"566","Republican",0,4,4,3,5,1,1,1
"567","Democrat",0.25,3,4,4,4,2,1,1
"568","Independent",0.25,4,1,2,5,4,0,0
"569","Republican",0.25,5,5,5,3,1,0,1
