"pid" "gender" "age" "Weight1" "Weight2" "Weight3" "time_az" "interests" "identity_AZ" "identity_US" "needs_met" "rep_ideo" "dem_ideo" "covid_affected" "covid_finance" "wear_mask" "public_mask" "k12" "college" "trump_covid" "ducey_covid" "mayor_covid" "border_wall" "imm_citizenship" "imm_hurt_az" "imm_hurt_culture" "oppose_race_protests" "interact_law" "positive_law" "registered" "plan_to_vote_pres" "vote_pres" "plan_to_vote_senate" "vote_senate" "rep_ft" "dem_ft" "rep_ft_people" "dem_ft_people" "conservative" "hispanic" "race" "christian" "income" "children"
"22" 1 1 1 0.57 5.78 2.72 "More than 10 Years" 2 4 3 3 2 3 1 3 1 1 2 2 5 4 3 4 1 2 2 1 5 4 1 1 1 1 2 10 80 5 80 2 0 1 1 2 1
"23" 1 1 1 3.97 5.78 9.97 "5-10 years" 4 5 5 4 3 2 1 3 1 2 4 2 3 3 1 2 4 2 2 1 4 2 1 4 3 2 2 6 50 44 99 2 1 1 1 2 1
"24" 1 1 1 0.57 5.78 2.72 "More than 10 Years" 2 4 2 4 3 3 2 1 1 1 1 1 4 3 3 4 1 3 3 3 5 3 1 2 1 2 2 10 90 10 90 2 0 1 2 2 1
"25" 1 1 1 1.02 5.78 2.26 "5-10 years" 4 5 2 2 2 4 2 1 1 1 1 1 5 3 2 5 2 2 2 5 5 2 1 2 2 1 2 1 70 25 85 3 0 2 2 2 1
"26" 2 1 1 7.15 5.78 8.28 "<5 years" 2 3 3 3 3 2 1 3 2 2 1 2 2 2 2 2 4 2 3 1 3 2 1 3 2 3 2 70 0 100 8 3 1 2 2 2 1
"27" 2 1 1 0.56 5.78 2.74 "More than 10 Years" 1 1 1 1 1 5 1 1 1 1 1 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 90 50 52 10 3 0 1 1 3 1
"28" 3 1 1 0.56 5.78 2.74 "More than 10 Years" 1 3 3 3 4 4 1 3 1 1 1 1 5 5 2 5 1 2 3 4 5 1 1 1 1 1 2 15 10 40 25 3 0 1 2 3 1
"29" 2 1 1 0.56 5.78 2.74 "More than 10 Years" 2 1 1 3 3 3 2 3 1 5 3 1 2 2 2 1 5 4 3 4 5 1 1 1 5 2 4 75 25 50 50 4 0 1 2 3 1
"30" 3 1 1 1 5.78 2.28 "<5 years" 2 5 4 4 3 4 1 1 3 3 4 5 4 4 5 3 5 5 4 5 5 4 0 4 3 4 4 4 5 5 4 4 0 2 5 3 1
"31" 1 1 1 0.56 5.78 2.74 "More than 10 Years" 3 3 2 1 2 3 2 3 1 1 1 1 1 1 1 1 1 1 1 2 2 2 1 2 2 2 2 0 0 0 0 3 0 1 6 3 1
"32" 2 1 2 0.87 2.37 1.98 "More than 10 Years" 1 1 1 3 3 3 2 1 1 1 1 1 2 4 2 3 3 4 3 4 5 1 0 5 4 5 3 50 40 50 50 3 0 1 1 1 0
"33" 2 1 2 1.56 2.37 1.65 "More than 10 Years" 2 4 6 5 1 3 2 3 4 2 1 3 4 4 5 1 4 5 1 1 4 4 1 2 1 1 2 50 20 30 27 3 0 2 1 1 0
"34" 1 1 2 0.76 2.37 0.74 "<5 years" 1 5 4 3 3 2 2 1 1 1 2 1 5 3 3 4 1 2 1 2 5 1 1 2 1 3 1 10 50 0 30 3 0 3 1 1 0
"35" 2 1 2 0.87 2.37 1.98 "More than 10 Years" 5 5 1 3 4 3 2 3 2 2 3 3 3 3 3 3 3 3 3 3 5 3 1 3 3 3 3 0 10 30 50 3 0 1 2 1 0
"36" 3 1 2 0.87 2.37 1.98 "More than 10 Years" 2 2 1 3 3 3 2 3 2 4 5 5 1 2 1 3 2 3 3 4 5 3 1 1 4 1 4 75 50 75 75 3 0 1 2 1 0
"37" 3 1 2 0.87 2.37 1.98 "More than 10 Years" 3 5 1 3 2 4 2 3 1 1 2 1 4 4 3 4 1 1 1 5 5 1 1 1 3 1 3 50 20 50 20 4 0 1 2 1 0
"38" 2 1 2 0.87 2.37 1.98 "More than 10 Years" 5 2 4 3 3 3 2 1 2 2 3 3 2 3 2 4 2 2 2 4 5 3 1 1 5 1 1 65 60 70 60 5 0 1 2 1 0
"39" 3 1 2 0.87 2.37 1.98 "More than 10 Years" 1 1 1 3 3 3 2 3 1 4 4 4 1 1 3 1 5 5 5 5 3 1 1 1 5 1 5 96 0 99 0 5 0 1 2 1 0
"40" 2 1 2 6.86 2.37 18.1 "More than 10 Years" 3 1 1 3 1 4 1 1 1 2 3 3 1 2 2 2 5 4 4 3 4 4 0 5 5 5 4 40 100 60 40 1 1 5 2 1 0
"41" 2 1 2 0.87 2.37 1.98 "More than 10 Years" 1 1 1 4 4 4 2 1 1 1 5 1 1 1 1 4 1 3 1 1 5 3 0 5 2 5 3 50 50 75 25 1 0 1 5 1 0
"42" 1 1 2 0.87 2.37 1.98 "More than 10 Years" 3 5 2 3 4 3 2 1 1 1 4 5 5 5 4 3 3 2 2 1 3 2 1 1 1 2 2 0 70 80 20 3 0 1 6 1 0
"43" 1 1 2 0.87 2.37 1.98 "5-10 years" 3 4 1 3 3 3 2 3 1 2 4 4 4 3 2 4 2 2 2 3 3 2 1 1 1 2 3 80 80 50 50 3 0 1 6 1 0
"44" 3 1 2 0.87 2.37 1.98 "More than 10 Years" 1 1 1 3 3 5 2 3 2 4 1 1 2 2 1 2 2 4 4 4 3 3 1 1 5 1 5 65 10 90 20 4 0 1 6 1 0
"45" 2 1 2 6.08 2.37 7.25 "More than 10 Years" 1 1 1 5 2 3 2 3 2 1 3 3 5 5 1 5 1 1 1 1 5 1 0 5 2 5 2 0 50 0 50 3 1 1 6 1 0
"46" 2 1 2 0.57 2.37 1.32 "More than 10 Years" 3 1 1 3 3 3 2 1 1 4 3 2 4 4 4 4 2 4 3 4 5 3 1 2 5 2 4 50 50 50 50 3 0 1 1 2 0
"47" 3 1 2 0.57 2.37 1.32 "<5 years" 3 4 1 2 2 3 2 3 1 4 3 3 2 2 2 1 1 4 4 4 5 3 1 1 5 1 5 75 25 75 50 3 0 1 1 2 0
"48" 3 1 2 0.57 2.37 1.32 "More than 10 Years" 3 4 1 3 4 3 2 3 2 2 4 2 3 2 2 4 2 2 3 4 5 1 1 2 4 2 4 55 30 60 40 4 0 1 1 2 0
"49" 1 1 2 0.49 2.37 0.49 "More than 10 Years" 1 4 1 3 3 2 2 1 1 1 1 4 4 2 2 3 1 2 2 1 5 1 1 1 1 1 1 50 80 50 80 3 0 3 1 2 0
"50" 3 1 2 0.57 2.37 1.32 "More than 10 Years" 2 3 2 4 2 3 2 3 1 2 4 4 5 4 2 4 2 1 1 3 5 1 1 1 3 1 3 1 1 50 50 3 0 1 2 2 0
"51" 3 1 2 0.57 2.37 1.32 "More than 10 Years" 3 7 1 3 3 5 2 3 1 1 5 5 1 2 1 1 5 4 1 4 5 1 1 1 5 1 5 75 1 75 20 3 0 1 2 2 0
"52" 2 1 2 0.57 2.37 1.32 "More than 10 Years" 1 1 1 3 3 3 2 3 2 1 5 3 5 2 3 2 3 2 3 4 5 1 1 2 2 4 3 20 20 20 20 4 0 1 2 2 0
"53" 3 1 2 0.57 2.37 1.32 "More than 10 Years" 3 3 3 4 4 2 2 1 2 2 3 2 5 2 2 2 2 2 2 2 5 1 1 1 2 1 2 35 35 0 0 4 0 1 2 2 0
"54" 3 1 2 0.57 2.37 1.32 "More than 10 Years" 2 3 1 3 3 4 2 3 1 1 2 1 1 2 1 1 2 4 3 4 5 1 1 1 5 1 5 100 0 100 0 5 0 1 2 2 0
"55" 3 1 2 1.02 2.37 1.1 "More than 10 Years" 2 1 1 3 2 3 2 3 2 2 4 4 4 4 3 1 2 3 3 2 4 1 1 1 5 1 5 95 75 95 80 5 0 2 2 2 0
"56" 2 1 2 0.64 2.37 3.29 "<5 years" 3 7 3 3 3 3 2 3 1 1 1 1 5 3 2 4 2 2 2 1 5 2 1 3 3 1 3 50 50 50 50 3 0 5 2 2 0
"57" 1 1 2 0.57 2.37 1.32 "More than 10 Years" 4 1 1 4 3 3 2 3 1 1 3 3 5 5 5 5 1 2 2 3 5 1 1 1 1 1 1 0 100 0 100 1 0 1 6 2 0
"58" 1 1 2 0.57 2.37 1.32 "More than 10 Years" 4 3 3 3 3 3 2 3 1 1 1 1 5 5 2 4 1 1 1 1 3 3 1 1 1 1 1 0 89 0 100 1 0 1 6 2 0
"59" 1 1 2 0.57 2.37 1.32 "More than 10 Years" 3 2 1 3 3 4 2 3 2 2 2 2 5 5 2 2 2 2 3 4 5 1 1 1 1 1 1 10 70 10 90 2 0 1 6 2 0
"60" 1 1 2 0.57 2.37 1.32 "<5 years" 4 4 4 3 1 2 2 3 1 2 1 1 5 4 3 5 1 1 1 2 5 2 1 1 1 1 1 2 97 0 94 2 0 1 6 2 0
"61" 1 1 2 0.57 2.37 1.32 "More than 10 Years" 4 5 1 3 2 4 2 3 1 2 4 5 1 1 2 1 5 5 5 4 5 2 1 2 5 2 3 0 90 0 80 3 0 1 6 2 0
"62" 1 1 2 0.56 2.37 1.33 "More than 10 Years" 4 4 4 3 3 3 2 3 1 1 1 1 5 5 2 2 4 3 4 4 5 1 1 1 1 1 1 0 75 20 75 3 0 1 1 3 0
"63" 3 1 2 3.88 2.37 4.86 "More than 10 Years" 3 2 1 3 3 3 2 3 1 1 3 3 4 4 3 2 2 2 2 4 5 1 1 1 2 1 4 80 20 80 20 4 1 1 2 3 0
"64" 1 1 2 0.48 2.37 0.5 "More than 10 Years" 3 2 1 5 3 3 1 3 1 1 1 1 5 5 4 3 4 4 2 4 5 2 1 1 1 4 2 50 50 50 50 3 0 3 2 3 0
"65" 3 1 2 0.48 2.37 0.5 "More than 10 Years" 2 2 1 3 4 5 2 3 1 1 3 3 2 1 2 1 2 3 3 4 5 1 1 1 5 1 5 90 0 100 0 5 0 3 6 3 0
"66" 1 1 2 0.78 2.37 1.62 "<5 years" 1 3 3 4 2 3 2 3 2 2 1 1 5 4 1 4 1 1 1 1 5 1 1 1 1 1 6 0 100 35 95 3 0 1 2 4 0
"67" 2 1 2 0.78 2.37 1.62 "More than 10 Years" 4 1 1 3 3 2 2 3 2 2 5 5 3 4 3 3 2 2 3 4 4 3 1 2 3 3 3 50 50 50 50 3 0 1 2 4 0
"68" 1 1 2 0.78 2.37 1.62 "More than 10 Years" 4 1 3 3 3 3 2 1 2 4 2 2 5 3 2 5 1 1 1 1 5 3 1 1 1 3 2 18 73 27 83 1 0 1 5 4 0
"69" 3 1 2 0.78 2.37 1.62 "More than 10 Years" 1 2 2 2 2 3 2 3 1 4 5 5 1 1 1 1 5 5 5 4 5 1 1 1 5 1 5 100 0 100 0 4 0 1 6 4 0
"70" 2 1 2 6.08 2.37 7.25 "More than 10 Years" 4 2 2 2 2 2 2 3 1 1 4 5 2 2 2 3 1 2 2 5 5 1 1 1 3 2 2 70 60 80 60 3 1 1 1 1 1
"71" 3 1 2 0.87 2.37 1.98 "<5 years" 2 4 1 2 2 5 2 3 1 2 5 5 1 1 1 1 1 4 2 4 5 1 1 1 5 1 1 85 10 50 50 3 0 1 2 1 1
"72" 2 1 2 0.87 2.37 1.98 "More than 10 Years" 2 3 1 3 2 3 2 1 1 3 1 3 1 2 3 1 4 4 4 4 4 1 0 3 4 3 3 50 50 50 50 3 0 1 6 1 1
"73" 1 1 2 0.57 2.37 1.32 "More than 10 Years" 1 1 1 3 3 3 2 3 1 1 3 3 5 4 1 2 4 5 3 4 5 1 1 1 1 1 1 25 75 50 50 1 0 1 1 2 1
"74" 3 1 2 0.57 2.37 1.32 "More than 10 Years" 3 1 1 3 1 4 2 3 1 5 4 4 1 2 1 1 3 5 3 4 3 1 1 1 5 1 4 50 0 80 0 5 0 1 1 2 1
"75" 3 1 2 0.49 2.37 0.49 "More than 10 Years" 2 1 1 4 3 3 1 3 1 2 2 2 4 3 2 2 3 2 3 5 4 3 1 1 5 1 3 50 50 50 50 3 0 3 1 2 1
"76" 1 1 2 0.57 2.37 1.32 "More than 10 Years" 1 4 2 4 3 4 1 1 1 1 2 2 5 5 1 4 3 2 2 5 5 2 1 1 1 1 1 25 75 50 50 2 0 1 2 2 1
"77" 3 1 2 0.57 2.37 1.32 "More than 10 Years" 2 3 2 3 1 3 2 3 2 5 5 5 1 4 4 1 3 4 3 4 5 1 1 1 5 1 5 95 0 95 0 5 0 1 2 2 1
"78" 2 1 2 0.57 2.37 1.32 "5-10 years" 1 3 1 3 3 3 2 3 1 2 1 1 4 5 3 4 2 2 3 1 5 3 1 1 2 1 4 50 50 50 50 3 0 1 3 2 1
"79" 1 1 2 3.97 2.37 4.82 "More than 10 Years" 1 1 1 4 3 3 2 3 1 1 1 1 5 5 1 4 4 4 3 4 5 2 1 1 1 1 1 0 90 0 90 2 1 1 5 2 1
"80" 1 1 2 0.49 2.37 0.49 "<5 years" 2 2 3 2 2 2 2 3 1 1 2 3 2 2 3 3 3 2 3 4 5 1 1 3 5 2 2 70 79 50 70 3 0 3 5 2 1
"81" 1 1 2 0.57 2.37 1.32 "More than 10 Years" 5 7 1 3 1 3 2 3 1 1 1 1 5 5 5 5 1 1 1 1 5 3 1 1 1 2 2 0 70 0 80 3 0 1 6 2 1
"82" 1 1 2 0.49 2.37 0.49 "More than 10 Years" 2 1 1 3 3 3 2 3 1 1 2 1 5 5 2 5 3 3 2 3 4 3 1 1 2 1 2 35 65 50 50 3 0 3 6 2 1
"83" 1 1 2 3.12 2.37 6.71 "More than 10 Years" 4 6 4 3 4 3 3 1 1 1 1 1 3 3 3 4 3 3 3 2 5 1 1 1 2 2 2 50 50 50 60 3 0 4 6 2 1
"84" 3 1 2 0.64 2.37 3.29 "<5 years" 3 5 5 3 2 2 2 1 2 1 3 3 4 3 2 3 3 2 2 3 5 3 0 5 3 5 3 50 50 70 30 3 0 5 6 2 1
"85" 1 1 2 0.78 2.37 1.62 "More than 10 Years" 3 1 1 3 3 3 2 3 1 1 5 5 1 4 3 5 4 5 5 5 5 1 1 1 4 1 4 40 20 50 50 3 0 1 1 4 1
"86" 2 1 2 0.78 2.37 1.62 "More than 10 Years" 4 1 1 4 1 4 2 3 1 1 4 4 4 1 2 1 4 5 3 4 5 1 1 1 3 1 4 60 40 90 0 3 0 1 1 4 1
"87" 2 1 2 0.78 2.37 1.62 "More than 10 Years" 1 1 1 1 2 4 2 3 1 5 5 5 1 1 1 1 1 2 2 4 5 1 1 1 5 1 5 98 0 98 0 3 0 1 1 4 1
"88" 3 1 2 0.78 2.37 1.62 "5-10 years" 1 3 1 3 2 2 2 3 1 1 3 2 2 1 1 1 4 3 4 4 5 1 1 1 5 1 5 75 0 90 30 3 0 1 1 4 1
"89" 3 1 2 0.78 2.37 1.62 "More than 10 Years" 1 2 1 3 2 4 2 3 1 3 5 5 1 2 2 5 5 4 4 4 5 1 1 1 5 1 5 100 0 100 0 5 0 1 1 4 1
"90" 1 1 2 0.68 2.37 0.61 "More than 10 Years" 4 3 3 5 2 3 2 3 1 1 1 1 5 5 2 4 1 1 1 1 5 2 1 1 1 1 1 0 60 0 80 1 0 3 6 4 1
"91" 1 1 3 0.87 0.63 0.6 "<5 years" 2 2 1 3 3 2 1 3 1 1 1 1 4 2 2 4 2 2 2 2 3 1 1 1 1 1 1 40 60 50 50 3 0 1 1 1 0
"92" 1 1 3 0.87 0.63 0.6 "<5 years" 1 7 1 3 3 3 2 3 1 1 5 5 5 4 3 2 1 1 3 2 5 1 1 1 1 1 1 0 80 30 90 3 0 1 1 1 0
"93" 1 1 3 0.87 0.63 0.6 "More than 10 Years" 2 4 1 3 3 3 2 3 1 2 3 3 5 5 3 4 1 1 1 4 5 3 1 1 1 1 1 10 75 50 70 3 0 1 1 1 0
"94" 1 1 3 0.87 0.63 0.6 "More than 10 Years" 2 2 1 3 3 3 2 3 1 2 2 2 3 3 3 3 2 2 2 3 5 1 1 3 3 3 3 50 50 50 50 3 0 1 1 1 0
"95" 2 1 3 0.87 0.63 0.6 "More than 10 Years" 3 4 4 3 3 3 2 3 1 1 1 1 5 3 3 3 3 5 5 3 5 3 0 5 3 3 3 50 50 75 75 3 0 1 1 1 0
"96" 3 1 3 0.87 0.63 0.6 "5-10 years" 4 7 1 3 2 3 1 3 2 5 5 5 1 2 3 1 2 5 5 4 5 1 1 1 5 1 5 50 0 100 0 4 0 1 1 1 0
"97" 1 1 3 0.87 0.63 0.6 "More than 10 Years" 3 2 2 3 4 1 2 3 1 1 1 1 4 3 4 3 3 1 1 1 5 3 1 1 1 3 3 0 100 0 100 5 0 1 1 1 0
"98" 3 1 3 0.87 0.63 0.6 "More than 10 Years" 4 1 1 4 2 5 2 3 1 1 3 1 2 4 3 1 5 5 5 4 3 1 1 1 5 3 3 50 0 80 30 5 0 1 1 1 0
"99" 3 1 3 0.87 0.63 0.6 "More than 10 Years" 1 1 1 2 1 3 2 3 1 5 4 5 1 2 2 1 5 5 5 4 5 1 1 1 5 3 5 99 0 100 0 5 0 1 1 1 0
"100" 3 1 3 6.08 0.63 2.2 "More than 10 Years" 1 3 3 2 1 1 2 1 1 1 1 1 1 1 1 1 5 5 5 4 3 1 1 1 5 1 5 100 0 100 0 5 1 1 1 1 0
"101" 2 1 3 6.86 0.63 5.49 "More than 10 Years" 4 3 1 4 2 4 2 1 1 1 2 1 2 4 1 1 2 4 3 4 5 3 1 1 5 1 5 90 40 100 10 3 1 5 1 1 0
"102" 3 1 3 6.86 0.63 5.49 "More than 10 Years" 3 3 1 3 3 3 2 1 1 5 5 5 1 3 2 5 2 4 4 4 5 1 1 1 5 1 5 60 0 100 20 4 1 5 1 1 0
"103" 1 1 3 0.87 0.63 0.6 "5-10 years" 4 7 2 3 3 2 2 3 1 1 1 1 5 2 2 4 1 1 1 1 3 1 1 1 1 1 1 0 70 60 80 1 0 1 2 1 0
"104" 1 1 3 0.87 0.63 0.6 "More than 10 Years" 4 1 2 5 2 2 2 1 1 1 3 4 5 5 2 5 1 1 1 1 4 1 1 1 1 1 1 30 75 0 90 1 0 1 2 1 0
"105" 1 1 3 0.87 0.63 0.6 "More than 10 Years" 1 3 1 3 3 3 2 3 1 1 1 1 5 4 3 4 2 3 3 1 5 3 1 1 1 1 1 1 99 1 99 1 0 1 2 1 0
"106" 1 1 3 0.87 0.63 0.6 "<5 years" 4 5 1 4 2 3 2 3 1 1 1 1 5 5 5 3 3 4 1 4 4 1 1 1 1 1 1 0 100 20 100 3 0 1 2 1 0
"107" 1 1 3 0.87 0.63 0.6 "More than 10 Years" 3 7 3 5 3 3 1 1 1 1 1 1 5 5 5 3 3 3 4 1 5 3 1 1 1 1 1 0 100 0 100 3 0 1 2 1 0
"108" 1 1 3 0.87 0.63 0.6 "<5 years" 3 4 4 3 3 3 2 3 1 1 3 3 3 3 3 3 3 3 3 3 5 3 1 3 3 3 3 0 100 0 80 3 0 1 2 1 0
"109" 2 1 3 0.87 0.63 0.6 "More than 10 Years" 1 1 1 4 3 3 2 1 1 1 3 3 5 4 2 3 2 2 3 1 5 1 1 1 1 1 1 0 75 50 75 3 0 1 2 1 0
"110" 2 1 3 0.87 0.63 0.6 "<5 years" 3 3 1 3 3 3 2 3 2 1 3 2 5 5 2 5 1 1 1 1 5 2 1 1 1 1 1 0 25 0 25 3 0 1 2 1 0
"111" 2 1 3 0.87 0.63 0.6 "<5 years" 4 7 1 4 3 3 2 3 1 1 2 2 5 5 1 3 3 1 1 1 5 3 1 1 3 1 3 50 50 50 50 3 0 1 2 1 0
"112" 2 1 3 0.87 0.63 0.6 "More than 10 Years" 1 4 2 3 3 3 2 3 3 5 5 5 2 3 3 1 3 4 4 4 5 1 0 1 5 3 3 50 25 50 25 3 0 1 2 1 0
"113" 3 1 3 0.87 0.63 0.6 "5-10 years" 2 5 1 3 2 2 2 1 1 1 1 1 5 4 3 4 1 2 2 1 4 1 1 1 1 1 1 40 60 50 50 3 0 1 2 1 0
"114" 3 1 3 0.87 0.63 0.6 "More than 10 Years" 3 3 3 3 3 3 2 3 4 3 5 5 2 2 2 1 1 1 1 3 5 1 1 1 5 1 2 50 50 50 50 3 0 1 2 1 0
"115" 3 1 3 0.87 0.63 0.6 "More than 10 Years" 3 3 1 3 2 2 2 1 1 1 1 1 4 2 3 2 3 4 3 4 5 1 1 1 3 1 3 60 40 20 20 3 0 1 2 1 0
"116" 3 1 3 0.87 0.63 0.6 "More than 10 Years" 1 1 1 2 1 2 2 3 1 5 5 4 1 1 1 1 1 2 1 2 4 1 1 1 5 1 5 60 10 75 25 3 0 1 2 1 0
"117" 3 1 3 0.87 0.63 0.6 "<5 years" 2 3 1 2 2 2 2 3 1 1 3 3 1 2 2 1 1 3 3 4 5 1 0 1 5 3 5 97 2 95 0 3 0 1 2 1 0
"118" 2 1 3 0.87 0.63 0.6 "More than 10 Years" 2 2 2 2 3 2 2 3 3 5 5 5 1 2 5 1 2 2 3 4 5 1 1 2 5 2 5 75 0 95 25 4 0 1 2 1 0
"119" 3 1 3 0.87 0.63 0.6 "More than 10 Years" 4 6 1 4 3 5 2 1 1 1 1 1 2 5 2 1 2 2 4 4 5 1 1 1 5 1 4 90 0 90 0 4 0 1 2 1 0
"120" 3 1 3 0.87 0.63 0.6 "5-10 years" 1 2 1 1 1 1 2 3 3 5 5 5 1 3 2 1 3 5 4 5 5 1 0 3 5 3 4 60 0 70 0 4 0 1 2 1 0
"121" 3 1 3 0.87 0.63 0.6 "More than 10 Years" 1 3 1 3 3 3 1 1 1 3 3 3 3 3 3 2 2 3 3 4 5 1 1 1 3 1 5 80 10 90 80 4 0 1 2 1 0
"122" 3 1 3 0.87 0.63 0.6 "5-10 years" 3 4 1 3 3 4 2 3 4 5 5 5 2 4 5 1 5 4 3 5 3 1 1 1 5 1 5 70 0 50 50 4 0 1 2 1 0
"123" 3 1 3 0.87 0.63 0.6 "More than 10 Years" 5 7 1 2 2 4 2 3 1 5 4 4 1 2 3 1 2 2 3 4 5 1 1 1 5 1 5 70 0 100 50 4 0 1 2 1 0
"124" 1 1 3 0.87 0.63 0.6 "More than 10 Years" 3 4 1 3 2 4 2 3 4 5 5 5 1 4 5 1 3 3 4 4 3 1 1 1 5 1 5 95 1 100 0 5 0 1 2 1 0
"125" 2 1 3 0.87 0.63 0.6 "More than 10 Years" 1 4 1 5 1 3 2 1 1 1 1 1 4 5 5 1 5 5 5 1 5 5 0 3 5 3 2 80 20 80 20 5 0 1 2 1 0
"126" 3 1 3 0.87 0.63 0.6 "More than 10 Years" 3 1 1 3 1 5 2 1 1 1 3 2 1 1 2 1 5 5 5 4 4 1 1 1 5 1 3 100 0 100 0 5 0 1 2 1 0
"127" 3 1 3 0.87 0.63 0.6 "More than 10 Years" 5 1 1 3 1 2 2 3 4 5 5 4 1 3 4 3 4 4 4 5 4 1 1 1 5 1 3 90 0 100 0 5 0 1 2 1 0
